0 ('/anaconda.py', 'plugin_loaded', 'package_folder')
361 ('/anaconda_lib/_typing.py', 'wrapped_decorator', 'args')
362 ('/anaconda_lib/_typing.py', 'wrapped_decorator', 'kwds')
363 ('/anaconda_lib/_typing.py', 'wrapped_decorator', 'func')
364 ('/anaconda_lib/_typing.py', 'no_type_check_decorator', 'decorator')
365 ('/anaconda_lib/_typing.py', '_get_protocol_attrs', 'self')
366 ('/anaconda_lib/_typing.py', '_get_protocol_attrs', 'protocol_bases')
367 ('/anaconda_lib/_typing.py', '_get_protocol_attrs', 'c')
368 ('/anaconda_lib/_typing.py', '_get_protocol_attrs', 'attrs')
369 ('/anaconda_lib/_typing.py', '_get_protocol_attrs', 'attr')
370 ('/anaconda_lib/_typing.py', '_get_protocol_attrs', 'base')
371 ('/anaconda_lib/_typing.py', '_Protocol_class_initializer', '__slots__')
372 ('/anaconda_lib/_typing.py', '_Protocol_class_initializer', '_is_protocol')
373 ('/anaconda_lib/_typing.py', 'Iterable_class_initializer', '__slots__')
374 ('/anaconda_lib/_typing.py', 'Iterator_class_initializer', '__slots__')
375 ('/anaconda_lib/_typing.py', '__int__', 'self')
376 ('/anaconda_lib/_typing.py', 'SupportsInt_class_initializer', '__slots__')
377 ('/anaconda_lib/_typing.py', '__float__', 'self')
378 ('/anaconda_lib/_typing.py', 'SupportsFloat_class_initializer', '__slots__')
379 ('/anaconda_lib/_typing.py', '__complex__', 'self')
380 ('/anaconda_lib/_typing.py', 'SupportsComplex_class_initializer', '__slots__')
381 ('/anaconda_lib/_typing.py', '__bytes__', 'self')
382 ('/anaconda_lib/_typing.py', 'SupportsBytes_class_initializer', '__slots__')
383 ('/anaconda_lib/_typing.py', '__abs__', 'self')
384 ('/anaconda_lib/_typing.py', 'SupportsAbs_class_initializer', '__slots__')
385 ('/anaconda_lib/_typing.py', '__round__', 'self')
386 ('/anaconda_lib/_typing.py', '__round__', 'ndigits')
387 ('/anaconda_lib/_typing.py', 'SupportsRound_class_initializer', '__slots__')
388 ('/anaconda_lib/_typing.py', '__reversed__', 'self')
389 ('/anaconda_lib/_typing.py', 'Reversible_class_initializer', '__slots__')
390 ('/anaconda_lib/_typing.py', 'Container_class_initializer', '__slots__')
