0 ('/setup.py', 'module_initializer', 'ROOT')
387 ('/pygal/stats.py', 'norm_ppf', 'x')
388 ('/pygal/stats.py', 'norm_ppf', 'norm_ppf_ret')
389 ('/pygal/stats.py', 'ppf', 'x')
390 ('/pygal/stats.py', 'ppf', 'n')
391 ('/pygal/stats.py', 'ppf', 'stats')
392 ('/pygal/stats.py', 'ppf', 'ppf_ret')
393 ('/pygal/stats.py', 'confidence_interval_continuous', 'kwargs')
394 ('/pygal/stats.py', 'confidence_interval_continuous', 'confidence')
395 ('/pygal/stats.py', 'confidence_interval_continuous', 'point_estimate')
396 ('/pygal/stats.py', 'confidence_interval_continuous', 'stddev')
397 ('/pygal/stats.py', 'confidence_interval_continuous', 'sample_size')
398 ('/pygal/stats.py', 'confidence_interval_continuous', 'alpha')
399 ('/pygal/stats.py', 'confidence_interval_continuous', 'margin')
400 ('/pygal/stats.py', 'confidence_interval_continuous', 'confidence_interval_continuous_ret')
401 ('/pygal/stats.py', 'confidence_interval_dichotomous', 'kwargs')
402 ('/pygal/stats.py', 'confidence_interval_dichotomous', 'percentage')
403 ('/pygal/stats.py', 'confidence_interval_dichotomous', 'bias')
404 ('/pygal/stats.py', 'confidence_interval_dichotomous', 'confidence')
405 ('/pygal/stats.py', 'confidence_interval_dichotomous', 'point_estimate')
