0 ('/invoke/context.py', '_prefix_commands', '_prefix_commands_ret')
218 ('/invoke/vendor/yaml3/constructor.py', 'get_single_data', 'get_single_data_ret')
219 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_bytes', 'construct_python_bytes_ret')
220 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_complex', 'construct_python_complex_ret')
221 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_long', 'construct_python_long_ret')
222 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_module', 'construct_python_module_ret')
223 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_name', 'construct_python_name_ret')
224 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_object', 'construct_python_object_ret')
225 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_object_apply', 'construct_python_object_apply_ret')
226 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_object_new', 'construct_python_object_new_ret')
227 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_str', 'construct_python_str_ret')
228 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_tuple', 'construct_python_tuple_ret')
229 ('/invoke/vendor/yaml3/constructor.py', 'construct_python_unicode', 'construct_python_unicode_ret')
230 ('/invoke/vendor/yaml3/constructor.py', 'find_python_module', 'find_python_module_ret')
231 ('/invoke/vendor/yaml3/constructor.py', 'find_python_name', 'find_python_name_ret')
232 ('/invoke/vendor/yaml3/constructor.py', 'make_python_instance', 'make_python_instance_ret')
233 ('/invoke/vendor/yaml3/constructor.py', 'construct_undefined', 'construct_undefined_ret')
234 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_binary', 'construct_yaml_binary_ret')
235 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_bool', 'construct_yaml_bool_ret')
236 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_float', 'construct_yaml_float_ret')
237 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_int', 'construct_yaml_int_ret')
238 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_map', 'construct_yaml_map_ret')
239 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_object', 'construct_yaml_object_ret')
240 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_omap', 'construct_yaml_omap_ret')
241 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_pairs', 'construct_yaml_pairs_ret')
242 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_seq', 'construct_yaml_seq_ret')
243 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_set', 'construct_yaml_set_ret')
244 ('/invoke/vendor/yaml3/constructor.py', 'construct_yaml_str', 'construct_yaml_str_ret')
